sample,latitude,longitude,dist_coast,dist_ocean,elevation
MSPX3,-84.48146667,-176.4787,2284.950765,661943.9743,105.8984375
MSPX4,-84.48161667,-176.47655,2281.930754,661957.6013,116.3828125
MSPX5,-84.48148333,-176.4772167,2275.820267,661943.9837,105.8984375
MSPX6,-84.48081667,-176.4818167,2256.015631,661877.436,105.8984375
NP1_1,-84.53455,-176.4222333,4433.114598,667463.7415,120.375
NP1_2,-84.53411667,-176.4055,4254.478845,667375.3095,117.7734375
NP1_3,-84.5339,-176.40255,4220.808404,667344.921,117.7734375
NP2_2,-84.53505,-175.42705,2215.389203,664659.6732,597.5390625
NP2_3,-84.5353,-175.42775,2221.729588,664687.7682,611.171875
NP2_4,-84.5357,-175.4302667,2219.973328,664737.4879,611.171875
NP3_1,-84.5346,-175.4231667,2229.265419,664600.1473,613.921875
NP3_2,-84.53366667,-175.4019333,2348.983754,664431.7558,561.578125
NP3_3,-84.53406667,-175.4075667,2352.51547,664492.093,563.640625
NP3_4,-84.53441667,-175.4166,2282.248432,664558.8893,613.921875
NP4_1,-84.5317,-175.3359667,2643.591679,664005.2527,95.0078125
NP4_3,-84.53191667,-175.335,2666.668963,664024.2769,106.2578125
NP4_5,-84.53315,-175.3152333,2909.616027,664084.3293,84.8203125
NP4_6,-84.6227,-176.7500833,12161.49986,677546.7302,487.171875
RM1_8,-85.48678333,-177.0993667,103040.0018,767671.5505,1695.304688
TGV1_1,-84.92033333,-176.9902,42214.08318,709422.2832,1161.148438
TGV1_2,-84.91991667,-176.9830833,42151.94569,709355.5191,1160.21875
TGV1_3,-84.91955,-176.9731667,42087.93044,709284.2714,1156.03125
TGV1_4,-84.9187,-176.9615667,41969.05253,709158.0915,1113.109375
TGV1_5,-84.91763333,-176.9316833,41781.73186,708947.4501,1060.640625
TGV1_6,-84.91668333,-176.9121167,41633.45279,708784.001,1002.242188
TGV1_7,-84.91605,-176.8988667,41534.45198,708674.3704,933.03125
TGV1_8,-84.91536667,-176.8791333,41414.96656,708537.6272,901.4453125
