"latitude" "longitude"
"T600-3_S167" -77.61942 163.58435
"T600-4_S168" -77.61942 163.58435
"T650-1_S169" -77.62128 163.58542
"T650-2_S78" -77.62128 163.58542
"T650-3_S171" -77.62128 163.58542
"T650-4_S172" -77.62128 163.58542
"T684-1_S173" -77.62308 163.58818
"T684-2_S79" -77.62308 163.58818
"T684-3_S175" -77.62308 163.58818
"T684-4_S176" -77.62308 163.58818
"SRR12095364" -76.3928032281242 161.056
"SRR12095365" -76.5713031734482 161.243
"SRR12095366" -76.5803031268345 161.097
"SRR12095367" -76.0965041132942 162.01
"SRR12095368" -76.4936037705073 162.064
"SRR12095369" -76.4701032588591 161.27
"SRR12095370" -77.0148030307613 161.456
"SRR12095371" -77.0110029433903 161.426
"SRR12095372" -77.0276028087831 161.216
"SRR12095373" -77.0038034933141 162.238
"SRR12095374" -77.6500034728176 163.116
"SRR12095375" -76.5200033822453 161.45
"SRR12095376" -76.0663042093991 162.008
"SRR12095377" -76.4373031813168 161.007
"SRR12095378" -77.0157029475747 161.405
"SRR12095379" -77.0138029929051 161.428
"ERR2919704" -63.906083 -57.840183
"ERR2919705" -63.906083 -57.840183
"ERR2919706" -63.906083 -57.840183
"ERR2919719" -63.8933 -57.9298
"ERR2919720" -63.8933 -57.9298
"ERR2919721" -63.8933 -57.9298
"ERR2660616" -77.4666648 162.5166646
"ERR2660617" -77.4666648 162.5166646
"ERR2660618" -77.4666648 162.5166646
"ERR2660619" -77.4666648 162.5166646
"ERR2660620" -77.4666648 162.5166646
"ERR2660621" -77.4666648 162.5166646
"ERR2660622" -77.4666648 162.5166646
"ERR2660624" -77.4666648 162.5166646
"ERR2660625" -77.4666648 162.5166646
"ERR2660627" -77.4666648 162.5166646
"ERR2660628" -77.4666648 162.5166646
"ERR2660629" -77.4666648 162.5166646
"ERR2660630" -77.4666648 162.5166646
"ERR2660631" -77.4666648 162.5166646
"ERR2660632" -77.4666648 162.5166646
"ERR2660633" -77.4666648 162.5166646
"BO.17.01" -54.445 3.404
"BO.17.03" -54.445 3.404
"BO.17.13" -54.445 3.404
"BO.17.27" -54.445 3.404
"CR.16.175" -46.39116 51.80608
